ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size,Localisation,Thème
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XLVII.",justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XXXVIII.",justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1731 - Merville,1,DECISIONS SUR CHAQUE ARTICLE DE LA COUTUME DE NORMANDIE. > TITRE HUITIEME. DU BENEFICE D ’ INVENTAIRE. > ARTICLE LXXXVI.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,2,COUTUME DE NORMANDIE. > CHAPITRE CINQUIEME. DE PATRONAGE D ’ ÉGLISE. > introduction,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE DIX-SEPTIEME. DES DONATIONS. > CCCCXLVIII.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,2,COUTUME DE NORMANDIE. > CHAPITRE DIX-SEPTIEME. DES DONATIONS. > introduction,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE HUITIEME. DE BENEFICE D ’ INVENTAIRE. > XCII.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,2,COUTUME DE NORMANDIE. > CHAPITRE HUITIEME. DE BENEFICE D ’ INVENTAIRE. > XCIII.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE HUITIEME. DE BENEFICE D ’ INVENTAIRE. > introduction,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX. > CCXII.,société
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,"COUTUME DE NORMANDIE. > CHAPITRE ONZIEME. DE SUCCESSION EN PROPRE, ET ANCIEN PATRIMOINE, TANT EN LIGNE DIRECTE QUE COLLATERALE. > CCLXXV.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,"COUTUME DE NORMANDIE. > CHAPITRE ONZIEME. DE SUCCESSION EN PROPRE, ET ANCIEN PATRIMOINE, TANT EN LIGNE DIRECTE QUE COLLATERALE. > CCXLIX.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,"COUTUME DE NORMANDIE. > CHAPITRE ONZIEME. DE SUCCESSION EN PROPRE, ET ANCIEN PATRIMOINE, TANT EN LIGNE DIRECTE QUE COLLATERALE. > CCXLVII.",successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE SEIZIEME. DES TESTAMENS. > CCCCXXI.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-DEUXIEME. DES EXECUTIONS PAR DÉCRET. > DXLVI.,justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,2,COUTUME DE NORMANDIE. > CHAPITRE VINGT-QUATRIEME. DE SERVITUDES. > DCVII.,successions
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-UNIEME. DE BREF DE MARIAGE ENCOMBRÉ. > DXI.,mariage
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-UNIEME. DE BREF DE MARIAGE ENCOMBRÉ. > DXLIV.,mariage
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-UNIEME. DE BREF DE MARIAGE ENCOMBRÉ. > DXXXVII.,mariage
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGTIEME. DES PRESCRIPTIONS. > DXXI.,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,2,COUTUME DE NORMANDIE. > CHAPITRE VINGTIEME. DES PRESCRIPTIONS. > DXXVIII.,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGTIEME. DES PRESCRIPTIONS. > DXXXI.,propriété
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > Premiere Partie du Douaire. > CCCLXXVII.,douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1771 - Pesnelle,1,"COUTUME DE NORMANDIE. > Septieme Partie, du Douaire des Enfans, > CCCCI.",douaire
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1578 - Terrien,1,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs. > De querelle de possession mobil. Chap. 1. > La Coustume aux Chapitres De querelle de possestionet De querelle de dette.",justice
justinien,Justinien Ier (0482-0565 ; empereur de Byzance),482,482,565,565,1578 - Terrien,2,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De Droict et de Iustice. Chap. I. > La Coustume au premier chapitre.",société
labeon,labeon,-50,-50,20,20,1678 - Basnage,1,coutume > DE SERVITUDES. > DCVIII.,successions
labeon,labeon,-50,-50,20,20,1678 - Basnage,2,coutume > DE SERVITUDES. > introduction,successions
labeon,labeon,-50,-50,20,20,1678 - Basnage,1,coutume > DES DONATIONS. > CCCCXLV. Comment s ’ entend donner et retenir.,successions
labeon,labeon,-50,-50,20,20,1678 - Basnage,1,coutume > DES DONATIONS. > CCCCXXXIV. Donations aux enfans reputées avancement d ’ hoirie.,successions
labeon,labeon,-50,-50,20,20,1678 - Basnage,2,"coutume > DES TESTAMENS. > CCCCXXII. Disposition par testament du tiers des acquests comment permise, à qui, et au profit de qui.",successions
labeon,labeon,-50,-50,20,20,1678 - Basnage,2,"coutume > QUELLES CHOSES SONT CENSÉES MEUBLES, QUELLES CHOSES IMMEUBLES. > CCCCCVI. Ustensiles d ’ hôtel quand sont meubles.",propriété
labeon,labeon,-50,-50,20,20,1678 - Basnage,1,coutume > TITRE DES EXECUTIONS. PAR DECRET > CCCCCLXXXIV.,justice
labeon,labeon,-50,-50,20,20,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXIIII.",société
labeon,labeon,-50,-50,20,20,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SERVITVDES. > VI. C. XXI.",successions
labeon,labeon,-50,-50,20,20,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > QVELLES CHOSES SONT CENSEES MEVBLES, QVELLES CHOSES immeubles. > V. C. VI.",propriété
labeon,labeon,-50,-50,20,20,1578 - Terrien,1,"LIVRE QVATORZIEME QVI EST, DES EAVX, ET FORESTS. > François 1515. Des caables, cs menus marchez debois. Chap. IX. > 1518.",propriété
lampride,Guillaume de Jumièges (10..-1090?),300,399,300,399,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > IX.,justice
lampride,Guillaume de Jumièges (10..-1090?),300,399,300,399,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DE GARDES. > CCXXVIII.",justice
lampride,Guillaume de Jumièges (10..-1090?),300,399,300,399,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CLV.",société
lampride,Guillaume de Jumièges (10..-1090?),300,399,300,399,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > TITRE DE JURISDICTION. > XX.",justice
leon-pape,Léon I (039.?-0461 ; pape),390,399,490,499,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
leon-pape,Léon I (039.?-0461 ; pape),390,399,490,499,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
livius,livius,-59,-59,27,27,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLXVI. Pendant la minorité des freres comment peuvent être mariées les seurs.,successions
livius,livius,-59,-59,27,27,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
livius,livius,-59,-59,27,27,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CLXX.",société
livius,livius,-59,-59,27,27,1614 - Bérault,2,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > CHAPITRE DES FIEFS ET DROITS FEODAVX. > CXXIIII.",société
livius,livius,-59,-59,27,27,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DONATIONS. > CCCCXXXI.",successions
lycurgue,Lycurgue (0390?-0324? av. J.-C.),-390,-390,-324,-324,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXIV. Doüaire prefix.,douaire
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLVIII. Cas des reservations des filles à succession.,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCLX. Fille reservée à succession doit rapporter.,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXLVIII. Aux propres les mâles excluent les femelles.,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,3,coutume > DE SUCCESSIONS EN PROPRE > introduction,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,2,coutume > DES FIEFS ET DROITS FEODAUX > CII. Definition de Franc-Aleu.,société
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CVII. La forme de l ’ hommage.,société
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,2,coutume > DES FIEFS ET DROITS FEODAUX > CXL.,société
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > introduction,société
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DES SUCCESSIONS COLLATERALES AUX MEUBLES ET ACQUESTS. > CCCXXIX. Quelle part la femme aprés la mort du mary prend aux conquests.,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXXIX. Femme n ’ a communauté avec le mary.,douaire
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCXCI. Meubles de la femme separée de biens à qui appartienent.,douaire
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,2,coutume > DU DOUAIRE. > introduction,douaire
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,3,coutume > TITRE DE JURISDICTION. > XIII.,justice
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1678 - Basnage,2,coutume > TITRE DE JURISDICTION. > introduction,justice
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,<front> > AVERTISSEMENT. > ,matière liminaire
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE DIX-SEPTIEME. DES DONATIONS. > CCCCXLVI.,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE DIX-SEPTIEME. DES DONATIONS. > CCCCXXXI.,successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE NEUVIEME. DES FIEFS ET DROITS FEODAUX. > CVII.,société
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,2,"COUTUME DE NORMANDIE. > CHAPITRE ONZIEME. DE SUCCESSION EN PROPRE, ET ANCIEN PATRIMOINE, TANT EN LIGNE DIRECTE QUE COLLATERALE. > CCLIX.",successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,"COUTUME DE NORMANDIE. > CHAPITRE ONZIEME. DE SUCCESSION EN PROPRE, ET ANCIEN PATRIMOINE, TANT EN LIGNE DIRECTE QUE COLLATERALE. > CCXLVII.",successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,"COUTUME DE NORMANDIE. > CHAPITRE ONZIEME. DE SUCCESSION EN PROPRE, ET ANCIEN PATRIMOINE, TANT EN LIGNE DIRECTE QUE COLLATERALE. > CCXXXIX.",successions
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE PREMIER. DE JURISDICTION. > XVI.,justice
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE PREMIER. DE JURISDICTION. > introduction,justice
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,2,COUTUME DE NORMANDIE. > Premiere Partie du Douaire. > CCCLXX.,douaire
marculphe,Marcoul (0490?-0558 ; saint),490,490,558,558,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > Premiere Partie du Douaire. > introduction,douaire
martial,Martial (0040?-0104?),40,40,104,104,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
martial,Martial (0040?-0104?),40,40,104,104,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLIX.,société
martial,Martial (0040?-0104?),40,40,104,104,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > Des chasses. Chap. XLV. > Ledit François 1533.",justice
maximien,maximien,250,250,310,310,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
maximien,maximien,250,250,310,310,1578 - Terrien,1,"LIVRE HVITIEME, QVI EST, D ’ ACTIONS, QVERELLES, ou clameurs. > De clameur reuocatoire, co autres rescissions de contracts. Chap. XXVIII. > Au Style.",justice
modestin,"Modestinus, Herennius",200,299,200,299,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
modestin,"Modestinus, Herennius",200,299,200,299,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > introduction,successions
modestin,"Modestinus, Herennius",200,299,200,299,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXL.,société
modestin,"Modestinus, Herennius",200,299,200,299,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLIII. Droit de confiscation à qui appartient et en quel cas écheoit.,société
modestin,"Modestinus, Herennius",200,299,200,299,1678 - Basnage,1,coutume > DES TESTAMENS. > CCCCXIV. Quelles personnes peuvent tester de meuble et comment.,successions
modestin,"Modestinus, Herennius",200,299,200,299,1678 - Basnage,3,"coutume > DES TESTAMENS. > CCCCXXII. Disposition par testament du tiers des acquests comment permise, à qui, et au profit de qui.",successions
neratius,neratius,1,99,100,199,1678 - Basnage,3,coutume > DU DOUAIRE. > CCCLXXIII.,douaire
neratius,neratius,1,99,100,199,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > De simple querelle personnel, qui se fait pour bateries co mal-façons de corps. Chap. : XXVI. > La Coustume.",société
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DE SERVITUDES. > DCIX.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DE SUCCESSIONS EN PROPRE > CCXLVII. Comment les biens sont faits propres.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,18,coutume > DE SUCCESSIONS EN PROPRE > CCXXXV. Temps et acte de l ’ adition d ’ heredité.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DES DONATIONS. > CCCCL Reduction de la donation de tous les biens à charge d ’ aliments.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,1,"coutume > DES DONATIONS. > CCCCXLVII. Donation comment reputée à cause de mort, et testamentaire.",successions
papinien,papinien,142,142,212,212,1678 - Basnage,1,"coutume > DES DONATIONS. > CCCCXXXI. Quelles personnes peuvent donner entre vifs, quoy, et à qui.",successions
papinien,papinien,142,142,212,212,1678 - Basnage,2,coutume > DES DONATIONS. > CCCCXXXIV. Donations aux enfans reputées avancement d ’ hoirie.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DES FIEFS ET DROITS FEODAUX > CXLIII. Droit de confiscation à qui appartient et en quel cas écheoit.,société
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DES GARDES. > CCXVIII. Charge de la Garde-Noble Seigneuriale.,société
papinien,papinien,142,142,212,212,1678 - Basnage,1,"coutume > DES RETRAITS ET CLAMEUR DE BOURSE. > CCCCCII. Baux à ferme et rente d ’ usufruit, quand sont clamables.",propriété
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DES RETRAITS ET CLAMEUR DE BOURSE. > CCCCLXXIX.,propriété
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DES RETRAITS ET CLAMEUR DE BOURSE. > CCCCLXXXVII.,propriété
papinien,papinien,142,142,212,212,1678 - Basnage,4,coutume > DES TESTAMENS. > CCCCXII. Forme et solennité de Testament.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,2,coutume > DES TESTAMENS. > CCCCXXVII. Disposition d ’ héritage comment est permise par testament.,successions
papinien,papinien,142,142,212,212,1678 - Basnage,4,coutume > DU DOUAIRE. > CCCCX. Mariez ne se peuvent avantager.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXVII.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXXII. Droit de viduitè appartenant au mary.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXXIX. Femme n ’ a communauté avec le mary.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCXCI. Meubles de la femme separée de biens à qui appartienent.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,2,coutume > DU DOUAIRE. > CCCXCIX. Doüaire propre aux enfans.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCXCV. Biens paraphernaux.,douaire
papinien,papinien,142,142,212,212,1678 - Basnage,3,"coutume > QUELLES CHOSES SONT CENSÉES MEUBLES, QUELLES CHOSES IMMEUBLES. > CCCCCVI. Ustensiles d ’ hôtel quand sont meubles.",propriété
papinien,papinien,142,142,212,212,1678 - Basnage,1,"coutume > QUELLES CHOSES SONT CENSÉES MEUBLES, QUELLES CHOSES IMMEUBLES. > CCCCCX. Deniers de fermages et arrerages de rentes foncieres et hypotheques.",propriété
papinien,papinien,142,142,212,212,1678 - Basnage,1,"coutume > QUELLES CHOSES SONT CENSÉES MEUBLES, QUELLES CHOSES IMMEUBLES. > CCCCCXIV. Office venal quand immeuble.",propriété
papinien,papinien,142,142,212,212,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > III.,justice
papinien,papinien,142,142,212,212,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE BRIEF DE MARIAGE ENCOMBRÉ. > V. C. XXXVIII.",mariage
papinien,papinien,142,142,212,212,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE DOVAIRE DE FEMMES, ET VEVFVAGE. des maris. > CCCLXXXII.",douaire
papinien,papinien,142,142,212,212,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE PRESCRIPTIONS. > V. C. XXII.",propriété
papinien,papinien,142,142,212,212,1614 - Bérault,1,"COMMENTAIRES SVR LES COVSTVMES DV PAYS DE NORMANDIE, ANCIENS RESSORS ET ENCLAVES D ICELVY. > DE SVCCESSION EN PROPRE ET ANCIEN PATRIMOINE TANT EN ligne directe que collaterale. > CCLXXV.",successions
papinien,papinien,142,142,212,212,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGT-QUATRIEME. DE SERVITUDES. > DCXX.,successions
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,5,"coutume > DE PRESCRIPTIONS. > CCCCCXXIII. Faculté de toutefois et quantes, comment se prescrit.",propriété
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,"coutume > DE SUCCESSION EN PROPRE AU BAILLIAGE DE CAUX, ET AUTRES LIEUX TENANS NATURE D ’ ICELUY. > CCXCVI. Dans quel temps, et par quel prix l ’ aîné peut retirer le tiers des puisnez.",successions
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,coutume > DE VARECH. > introduction,propriété
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,coutume > DES TESTAMENS. > CCCCXII. Forme et solennité de Testament.,successions
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,coutume > DES TESTAMENS. > CCCCXIV. Quelles personnes peuvent tester de meuble et comment.,successions
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,"coutume > DES TESTAMENS. > CCCCXXII. Disposition par testament du tiers des acquests comment permise, à qui, et au profit de qui.",successions
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,5,coutume > DU DOUAIRE. > CCCLXIX. Femme quand a doüaire sur les biens du pere et ayeul de son mary.,douaire
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCLXXVI. Privation de doüaire.,douaire
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,coutume > DU DOUAIRE. > CCCXCIV. Renonciation de la femme à la succession du mary.,douaire
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1678 - Basnage,1,coutume > TITRE DES EXECUTIONS. PAR DECRET > CCCCCXCII.,justice
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1771 - Pesnelle,1,COUTUME DE NORMANDIE. > CHAPITRE VINGTIEME. DES PRESCRIPTIONS. > DXXVII.,propriété
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE DIXIEME, QVI, EST, DES IVGEMENS ET SENtences, et de l ’ execution tant d ’ icelles sentences, que de lettres obligatoires. > Des Commmissaires ce Seques triers establis au regime d ’ heritages. Chap. XI. > François premier 1530.",successions
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE DIXIEME, QVI, EST, DES IVGEMENS ET SENtences, et de l ’ execution tant d ’ icelles sentences, que de lettres obligatoires. > Des criees, et decrets d ’ héritage, encheres, cs estats desdits decrets. Chap. X. > Au Style.",justice
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > Comment on doit proceder contre les absens, es fuitifs. Chap. XXXIII. > François 1530.",justice
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,3,"LIVRE DOVZIEME, QVI EST, DES CRIMES ET PROcez criminels. > D ’ inquisition d ’ office de Iustice, ce du deuoir des Iuges. Chap. XXXI. > Au chapitre De Justicier.",justice
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE PREMIER QVI EST, DE LA IVSTICE ET DV droict des Normans. > De Droict et de Iustice. Chap. I. > La Coustume au premier chapitre.",société
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes. > Des Euesques, Abbez, et autres personnes Ecclesiastiques, et Religieuses. Chap. VIII. > La cour de Parlement sur cest article.",société
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE SECOND. QVI EST, DV DROICT ET Estat des personnes. > Des curateurs des prodigues et insensez Chap. VI. > synthese",société
paulus,"Paulus, Julius (01..-02..)",100,199,200,299,1578 - Terrien,1,"LIVRE SEPTIEME, QVI EST, D ’ OBLIGATIONS et contracts. > De dettes, et de detteurs. Chap. III. > La Coustume au chapitre De querelle de dette, au chap. De pleges, et au chap. De derteurs.",justice
pausanias,Pausanias (01..-01..),100,199,100,199,1678 - Basnage,1,coutume > TITRE DE JURISDICTION. > III.,justice
pausanias,Pausanias (01..-01..),100,199,100,199,1578 - Terrien,1,"LIVRE QVATORZIEME QVI EST, DES EAVX, ET FORESTS. > De pasnage ou glandee Chap. 2. > Arrest des Iuges de la reformation des forests de Normandie donné sur le faict de la glandee des forests de Conches et Bretueil. 1534.",justice
pelage,Pélage I (0500?-0561 ; pape),500,599,600,699,1678 - Basnage,1,coutume > DE PATRONNAGE D ’ EGLISE. > introduction,société
